exchange,chain,block_height,ts,address,contract_name,contract_address,contract_ticker_symbol,balance
gate,ethereum,14730462,2022-05-07 14:59:39,0x42713fc5c5fc7f3b050edb15e2f46121c8f9c7e1,Wrapped UST Token,0xa47c8bf37f92abed4a126bda807a7b7498661acd,UST,3219.096938
gate,ethereum,14730462,2022-05-07 14:59:39,0x3a103115b2d809ed3f452d858632272caf654d27,Wrapped UST Token,0xa47c8bf37f92abed4a126bda807a7b7498661acd,UST,3196.343779
gate,ethereum,14730462,2022-05-07 14:59:39,0xac429f26e04329ac35fc9686f190d03ad6e26a8f,Wrapped UST Token,0xa47c8bf37f92abed4a126bda807a7b7498661acd,UST,3000
gate,ethereum,14730462,2022-05-07 14:59:39,0x5ff4498feeaccf802b44a19e2a5d67dbdd3afc7b,Wrapped UST Token,0xa47c8bf37f92abed4a126bda807a7b7498661acd,UST,2973.886792
gate,ethereum,14730462,2022-05-07 14:59:39,0xe272704b10420b368296ff5cee2b5c52c360089f,Wrapped UST Token,0xa47c8bf37f92abed4a126bda807a7b7498661acd,UST,2573
binance,ethereum,14730462,2022-05-07 14:59:39,0x3d5031f4f5659ac6549ac8f0eafe7c9b2a2f08df,Wrapped UST Token,0xa47c8bf37f92abed4a126bda807a7b7498661acd,UST,2301.827209
gate,ethereum,14730462,2022-05-07 14:59:39,0xaeb4a33e95b7d17dee862cc203f57ca618121dd5,Wrapped UST Token,0xa47c8bf37f92abed4a126bda807a7b7498661acd,UST,1998
gate,ethereum,14730462,2022-05-07 14:59:39,0x8a8dc8a194a24ca235ac437bfcd96f5508dc16ad,Wrapped UST Token,0xa47c8bf37f92abed4a126bda807a7b7498661acd,UST,1960.98049
gate,ethereum,14730462,2022-05-07 14:59:39,0xe5c22818fe474ae645f3ae5e33b5bce42fa372b2,Wrapped UST Token,0xa47c8bf37f92abed4a126bda807a7b7498661acd,UST,1837
gate,ethereum,14730462,2022-05-07 14:59:39,0xd082eab30e01c68647190e4f123681494f3c6105,Wrapped UST Token,0xa47c8bf37f92abed4a126bda807a7b7498661acd,UST,1483.051797
binance,ethereum,14730462,2022-05-07 14:59:39,0xf9ea0523b824e97b54ccb9939e94cd93f816bba0,Wrapped UST Token,0xa47c8bf37f92abed4a126bda807a7b7498661acd,UST,1428.6
gate,ethereum,14730462,2022-05-07 14:59:39,0x32e77e45fc56b1c33d1a092bc167325877a729d6,Wrapped UST Token,0xa47c8bf37f92abed4a126bda807a7b7498661acd,UST,1286.704388
gate,ethereum,14730462,2022-05-07 14:59:39,0x44eb2f1f8a4844034c0d0fb1e83e26e78ff50410,Wrapped UST Token,0xa47c8bf37f92abed4a126bda807a7b7498661acd,UST,1193.26845
gate,ethereum,14730462,2022-05-07 14:59:39,0x26aa4765ad10b8c80607789da8f22ab8b13d4d22,Wrapped UST Token,0xa47c8bf37f92abed4a126bda807a7b7498661acd,UST,1090.919158
gate,ethereum,14730462,2022-05-07 14:59:39,0xb267e4ec995a47f57f577b152c9cb6ecd4728610,Wrapped UST Token,0xa47c8bf37f92abed4a126bda807a7b7498661acd,UST,1090.531417
binance,ethereum,14730462,2022-05-07 14:59:39,0xf9eff9c075042e5db12d63cdcd5a16aad28d1eba,Wrapped UST Token,0xa47c8bf37f92abed4a126bda807a7b7498661acd,UST,1033.49
binance,ethereum,14730462,2022-05-07 14:59:39,0xeb175427b16eb8882282b88fe72933b127ceeab6,Wrapped UST Token,0xa47c8bf37f92abed4a126bda807a7b7498661acd,UST,1030.515258
gate,ethereum,14730462,2022-05-07 14:59:39,0xdf3343e100002b45bc3c9e900444a5dfe2eaf612,Wrapped UST Token,0xa47c8bf37f92abed4a126bda807a7b7498661acd,UST,999.7225731
gate,ethereum,14730462,2022-05-07 14:59:39,0x5ab0a81ebc81969e332f309d7822ac30b431db2b,Wrapped UST Token,0xa47c8bf37f92abed4a126bda807a7b7498661acd,UST,969.5152424
binance,ethereum,14730462,2022-05-07 14:59:39,0x82f147ed3f04c3d567e8f90e07a3c9d2ec51da64,Wrapped UST Token,0xa47c8bf37f92abed4a126bda807a7b7498661acd,UST,964.7793183
binance,ethereum,14730462,2022-05-07 14:59:39,0x4d9142b0e81ff331082b3b1c3e602e17d6d2dfdd,Wrapped UST Token,0xa47c8bf37f92abed4a126bda807a7b7498661acd,UST,929.842803
gate,ethereum,14730462,2022-05-07 14:59:39,0x3fa7f9712293fe5ddc5bff278f5edc9bf708fd80,Wrapped UST Token,0xa47c8bf37f92abed4a126bda807a7b7498661acd,UST,888.3831081
gate,ethereum,14730462,2022-05-07 14:59:39,0xbf2580903b61e1eef70301ddf449ef47179d196a,Wrapped UST Token,0xa47c8bf37f92abed4a126bda807a7b7498661acd,UST,871.110889
binance,ethereum,14730462,2022-05-07 14:59:39,0x174f75aadb7c605096bad19ab68103118543e0bd,Wrapped UST Token,0xa47c8bf37f92abed4a126bda807a7b7498661acd,UST,739.6354403
gate,ethereum,14730462,2022-05-07 14:59:39,0x92d8f936fdfefc1267184cd4211c7fef24ccb83b,Wrapped UST Token,0xa47c8bf37f92abed4a126bda807a7b7498661acd,UST,709.3546773
gate,ethereum,14730462,2022-05-07 14:59:39,0x7aaf886dbf1aac2a6477fa5dce152e1c4de4d6a1,Wrapped UST Token,0xa47c8bf37f92abed4a126bda807a7b7498661acd,UST,699.6501749
gate,ethereum,14730462,2022-05-07 14:59:39,0x2e1a6aaf9b1b7283c6a441d14b93701cfa97ae14,Wrapped UST Token,0xa47c8bf37f92abed4a126bda807a7b7498661acd,UST,600
gate,ethereum,14730462,2022-05-07 14:59:39,0x1bb135f2d4559899af0d3de006d87220e48848e9,Wrapped UST Token,0xa47c8bf37f92abed4a126bda807a7b7498661acd,UST,590.3012662
gate,ethereum,14730462,2022-05-07 14:59:39,0x7e4fc5e0985c1d0f71b6a3f61553da7288e60448,Wrapped UST Token,0xa47c8bf37f92abed4a126bda807a7b7498661acd,UST,522.8938494
gate,ethereum,14730462,2022-05-07 14:59:39,0xb88d20a9418f6e15ea7d4e689905203672b0f16b,Wrapped UST Token,0xa47c8bf37f92abed4a126bda807a7b7498661acd,UST,520
binance,ethereum,14730462,2022-05-07 14:59:39,0xf601030abf95fe79a0102b990cbbda8f6af14959,Wrapped UST Token,0xa47c8bf37f92abed4a126bda807a7b7498661acd,UST,510.883977
gate,ethereum,14730462,2022-05-07 14:59:39,0x4da91e00e3adc9bd5c1b761bb40eb2dbc5a3d330,Wrapped UST Token,0xa47c8bf37f92abed4a126bda807a7b7498661acd,UST,494
gate,ethereum,14730462,2022-05-07 14:59:39,0x982323f0a1128c700de758b61afe4d21c0b09287,Wrapped UST Token,0xa47c8bf37f92abed4a126bda807a7b7498661acd,UST,484.5939018
gate,ethereum,14730462,2022-05-07 14:59:39,0x1c274fdc86edf7ebc239d09714c49a512786038b,Wrapped UST Token,0xa47c8bf37f92abed4a126bda807a7b7498661acd,UST,428.5002491
binance,ethereum,14730462,2022-05-07 14:59:39,0x9576c73e39f9f5575ce62db7eddf1d47462d28b0,Wrapped UST Token,0xa47c8bf37f92abed4a126bda807a7b7498661acd,UST,393.701385
gate,ethereum,14730462,2022-05-07 14:59:39,0xe8b655d665076acae79a73cdac5858cb83d792ab,Wrapped UST Token,0xa47c8bf37f92abed4a126bda807a7b7498661acd,UST,386.8134491
gate,ethereum,14730462,2022-05-07 14:59:39,0x0ffba25a337e967c69493a5ae27223e09f1cd2a0,Wrapped UST Token,0xa47c8bf37f92abed4a126bda807a7b7498661acd,UST,356.617
binance,ethereum,14730462,2022-05-07 14:59:39,0xd5a6de3c3a9f4a762de164a30094eace2f8454d5,Wrapped UST Token,0xa47c8bf37f92abed4a126bda807a7b7498661acd,UST,313.3983667
gate,ethereum,14730462,2022-05-07 14:59:39,0x4df9947cf58a85c66a9f43ec14360b6cd47a534f,Wrapped UST Token,0xa47c8bf37f92abed4a126bda807a7b7498661acd,UST,304.8475762
gate,ethereum,14730462,2022-05-07 14:59:39,0xc26eb86b2efd1fcea77f710283a6b3808d618fc9,Wrapped UST Token,0xa47c8bf37f92abed4a126bda807a7b7498661acd,UST,275
gate,ethereum,14730462,2022-05-07 14:59:39,0x10564751b255739c50db36c9d13ea119b574188c,Wrapped UST Token,0xa47c8bf37f92abed4a126bda807a7b7498661acd,UST,249.481376
gate,ethereum,14730462,2022-05-07 14:59:39,0x9b5acc0ec1fe0e09dfbd57f9b288f02e2c26fd75,Wrapped UST Token,0xa47c8bf37f92abed4a126bda807a7b7498661acd,UST,243.9342487
gate,ethereum,14730462,2022-05-07 14:59:39,0x6dc4d9d74476e67152a6e8d38f36a830078a3dce,Wrapped UST Token,0xa47c8bf37f92abed4a126bda807a7b7498661acd,UST,235
gate,ethereum,14730462,2022-05-07 14:59:39,0x7b3d026c343ce27827da09fef63ae1081dec7c70,Wrapped UST Token,0xa47c8bf37f92abed4a126bda807a7b7498661acd,UST,221.9308856
binance,ethereum,14730462,2022-05-07 14:59:39,0x7689cdf69994b38ab4ae2aa9d7ba5383e37df569,Wrapped UST Token,0xa47c8bf37f92abed4a126bda807a7b7498661acd,UST,200
gate,ethereum,14730462,2022-05-07 14:59:39,0x930aab05c7fa189692cf93427a60a006a4ee82fc,Wrapped UST Token,0xa47c8bf37f92abed4a126bda807a7b7498661acd,UST,199.6828087
gate,ethereum,14730462,2022-05-07 14:59:39,0x446bb81a31966cae34fa5bc60caac4adb40038af,Wrapped UST Token,0xa47c8bf37f92abed4a126bda807a7b7498661acd,UST,192.1593775
binance,ethereum,14730462,2022-05-07 14:59:39,0xdcb673ea0bc22e1b4c8a8e03634e94b5a0f54445,Wrapped UST Token,0xa47c8bf37f92abed4a126bda807a7b7498661acd,UST,189
binance,ethereum,14730462,2022-05-07 14:59:39,0x8618d78882e3b31766bb90a32fc0be35040d865c,Wrapped UST Token,0xa47c8bf37f92abed4a126bda807a7b7498661acd,UST,175.375481
gate,ethereum,14730462,2022-05-07 14:59:39,0x700b548825b95f261fe3334f215ec891e40fc7b1,Wrapped UST Token,0xa47c8bf37f92abed4a126bda807a7b7498661acd,UST,169.7453819
